source,chunk_id,char_count
PMC6420431.txt,446,752
PMC6420431.txt,448,1028
PMC6420431.txt,449,693
PMC6420431.txt,450,752
PMC6420431.txt,451,109
PMC6420431.txt,452,807
PMC6420431.txt,453,507
PMC6420431.txt,454,752
PMC6420431.txt,455,702
PMC6420431.txt,456,176
PMC6420431.txt,457,911
PMC6420431.txt,458,524
PMC6420431.txt,459,702
PMC6420431.txt,460,700
PMC6420431.txt,461,1000
PMC6420431.txt,462,982
PMC6420431.txt,463,903
PMC6420431.txt,464,297
PMC6420431.txt,466,1021
PMC6420431.txt,467,395
PMC6420431.txt,468,297
PMC6420431.txt,470,932
PMC6420431.txt,471,960
PMC6420431.txt,472,303
PMC6420431.txt,473,297
PMC12433365.txt,474,445
PMC12433365.txt,475,803
PMC12433365.txt,476,966
PMC12433365.txt,478,878
PMC12433365.txt,479,832
PMC12433365.txt,480,893
PMC12433365.txt,481,359
PMC12433365.txt,482,966
PMC12433365.txt,483,483
PMC12433365.txt,485,1021
PMC12433365.txt,486,728
PMC12433365.txt,487,906
PMC12433365.txt,488,985
PMC12433365.txt,489,260
PMC12433365.txt,490,483
PMC12433365.txt,492,768
PMC12433365.txt,493,912
PMC12433365.txt,494,914
PMC12433365.txt,495,483
PMC12433365.txt,497,754
PMC12433365.txt,498,968
PMC12433365.txt,499,717
PMC12433365.txt,500,483
PMC12433365.txt,502,684
PMC12433365.txt,503,738
PMC12433365.txt,504,483
PMC12433365.txt,506,935
PMC12433365.txt,507,867
PMC12433365.txt,508,483
PMC12433365.txt,510,954
PMC12433365.txt,511,432
PMC12433365.txt,512,483
PMC12433365.txt,514,976
PMC12433365.txt,515,266
PMC12433365.txt,516,826
PMC12433365.txt,518,990
PMC12433365.txt,519,883
PMC12433365.txt,520,895
PMC12433365.txt,521,879
PMC12433365.txt,522,870
PMC12433365.txt,523,826
PMC5560223.txt,524,767
PMC5560223.txt,525,950
PMC5560223.txt,526,255
PMC5560223.txt,528,904
PMC5560223.txt,529,976
PMC5560223.txt,530,248
PMC5560223.txt,531,255
PMC5560223.txt,532,873
PMC5560223.txt,534,970
PMC5560223.txt,535,955
PMC5560223.txt,536,917
PMC5560223.txt,537,952
PMC5560223.txt,538,858
PMC5560223.txt,539,757
PMC5560223.txt,540,873
PMC5560223.txt,542,1003
PMC5560223.txt,543,855
PMC5560223.txt,544,720
PMC5560223.txt,545,849
PMC5560223.txt,546,817
PMC5560223.txt,547,863
PMC5560223.txt,548,423
PMC5560223.txt,549,873
PMC9318570.txt,550,596
PMC9318570.txt,551,491
PMC9318570.txt,553,954
PMC9318570.txt,554,101
PMC9318570.txt,555,491
PMC9318570.txt,557,965
PMC9318570.txt,558,963
PMC9318570.txt,559,342
PMC9318570.txt,560,491
PMC9318570.txt,562,845
PMC9318570.txt,563,493
PMC9318570.txt,564,491
PMC9318570.txt,566,975
PMC9318570.txt,567,650
PMC9318570.txt,568,818
PMC9318570.txt,569,955
PMC9318570.txt,570,988
PMC9318570.txt,571,898
PMC9318570.txt,572,876
PMC9318570.txt,573,694
PMC9318570.txt,574,890
PMC9318570.txt,575,288
PMC9318570.txt,576,491
PMC9318570.txt,577,702
PMC9318570.txt,578,341
PMC9318570.txt,579,692
PMC9318570.txt,581,983
PMC9318570.txt,582,876
PMC9318570.txt,583,357
PMC9318570.txt,584,692
PMC9318570.txt,585,369
PMC7655459.txt,586,590
PMC7655459.txt,588,950
PMC7655459.txt,589,212
PMC7655459.txt,590,780
PMC7655459.txt,592,774
PMC7655459.txt,593,361
PMC7655459.txt,594,780
PMC7655459.txt,596,956
PMC7655459.txt,597,706
PMC7655459.txt,598,780
PMC7655459.txt,599,649
PMC7655459.txt,601,1008
PMC7655459.txt,602,989
PMC7655459.txt,603,219
PMC7655459.txt,604,649
PMC7655459.txt,605,953
PMC7655459.txt,606,611
PMC7655459.txt,607,535
PMC7655459.txt,608,610
PMC7655459.txt,609,825
PMC7655459.txt,611,982
PMC7655459.txt,612,342
PMC7655459.txt,613,825
PMC7655459.txt,614,529
PMC7655459.txt,615,534
PMC7655459.txt,616,858
PMC7655459.txt,617,311
PMC7655459.txt,618,950
PMC7655459.txt,619,323
PMC7655459.txt,621,729
PMC7655459.txt,622,440
PMC7655459.txt,623,323
PMC11103298.txt,624,311
PMC11103298.txt,625,756
PMC11103298.txt,626,549
PMC11103298.txt,627,907
PMC11103298.txt,628,875
PMC11103298.txt,629,130
PMC11103298.txt,631,1013
PMC11103298.txt,632,863
PMC11103298.txt,633,683
PMC11103298.txt,634,903
PMC11103298.txt,635,818
PMC11103298.txt,636,853
PMC11103298.txt,637,930
PMC11103298.txt,638,1000
PMC11103298.txt,639,937
PMC11103298.txt,640,642
PMC11103298.txt,641,130
PMC11103298.txt,643,177
PMC11103298.txt,644,995
PMC11103298.txt,645,869
PMC11103298.txt,646,130
PMC11103298.txt,648,882
PMC11103298.txt,649,880
PMC11103298.txt,650,208
PMC11103298.txt,651,130
PMC10792381.txt,653,110
PMC10792381.txt,654,732
PMC10792381.txt,655,676
PMC10792381.txt,657,161
PMC10792381.txt,658,865
PMC10792381.txt,659,710
PMC10792381.txt,660,929
PMC10792381.txt,661,383
PMC10792381.txt,662,818
PMC10792381.txt,663,482
PMC10792381.txt,664,524
PMC10792381.txt,665,596
PMC10792381.txt,666,666
PMC10792381.txt,668,1034
PMC10792381.txt,669,876
PMC10792381.txt,670,108
PMC10792381.txt,671,872
PMC10792381.txt,672,372
PMC10792381.txt,673,876
PMC10792381.txt,674,251
PMC10792381.txt,675,800
PMC10792381.txt,676,550
PMC10792381.txt,677,821
PMC10792381.txt,679,1000
PMC10792381.txt,680,810
PMC10792381.txt,681,980
PMC10792381.txt,682,268
PMC10792381.txt,683,821
PMC10792381.txt,685,972
